epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16904.4,1.03614,0.70047,1.11695,0.64539,0.63653,0.65147,0.34811,1.61959,1.11255,1.51168,0.000540037,0.000540037,0.000540037
43,17234.1,1.05369,0.71944,1.11924,0.61574,0.60889,0.61189,0.33247,1.62491,1.14884,1.47928,0.000531038,0.000531038,0.000531038
44,17565.7,1.00559,0.68021,1.09453,0.62208,0.67262,0.6323,0.34673,1.61841,1.13467,1.48429,0.000522039,0.000522039,0.000522039
45,17891.4,1.00255,0.69978,1.09955,0.78259,0.64323,0.68417,0.36976,1.657,1.15943,1.51396,0.00051304,0.00051304,0.00051304
46,18215.4,0.99583,0.69274,1.08804,0.83672,0.63255,0.68265,0.37347,1.60327,1.12486,1.50336,0.00050404,0.00050404,0.00050404
47,18544.6,0.93941,0.65153,1.0801,0.79588,0.61888,0.66336,0.33392,1.65398,1.1821,1.52506,0.000495041,0.000495041,0.000495041
48,18875.4,1.00774,0.68898,1.10267,0.77039,0.60821,0.6527,0.33128,1.67956,1.13947,1.55795,0.000486042,0.000486042,0.000486042
49,19225.3,0.99624,0.6842,1.10007,0.72285,0.5794,0.65932,0.34767,1.67009,1.1213,1.53091,0.000477043,0.000477043,0.000477043
50,19557.3,0.97954,0.65316,1.07424,0.64923,0.62619,0.65495,0.36707,1.64609,1.17617,1.51411,0.000468044,0.000468044,0.000468044
51,19889.8,0.94132,0.626,1.05528,0.69174,0.59573,0.63603,0.32927,1.67532,1.17953,1.50411,0.000459045,0.000459045,0.000459045
52,20220.8,0.94513,0.65216,1.06858,0.62374,0.64159,0.65077,0.34275,1.69274,1.13222,1.51825,0.000450046,0.000450046,0.000450046
53,20547.4,0.94472,0.64902,1.06459,0.68416,0.61302,0.68037,0.35641,1.67813,1.1497,1.52278,0.000441047,0.000441047,0.000441047
54,20875.8,0.90762,0.6111,1.05207,0.70292,0.58864,0.65617,0.35912,1.64438,1.14796,1.49756,0.000432048,0.000432048,0.000432048
55,21202.8,0.91995,0.60954,1.06009,0.7024,0.66028,0.6833,0.35262,1.66683,1.10204,1.50744,0.000423049,0.000423049,0.000423049
56,21529,0.87934,0.60124,1.03849,0.68142,0.65784,0.6719,0.36803,1.61287,1.06892,1.46482,0.000414049,0.000414049,0.000414049
57,21856.2,0.88944,0.58522,1.03018,0.79401,0.60309,0.67102,0.35582,1.64841,1.13188,1.53924,0.00040505,0.00040505,0.00040505
58,22190.2,0.8839,0.60616,1.04379,0.75262,0.61373,0.67214,0.36715,1.63867,1.05433,1.52833,0.000396051,0.000396051,0.000396051
59,22525.1,0.86169,0.57791,1.02729,0.73127,0.67141,0.68778,0.36986,1.63716,1.09376,1.51894,0.000387052,0.000387052,0.000387052
60,22858,0.85309,0.57174,1.00644,0.75146,0.59242,0.62644,0.34292,1.66349,1.1454,1.51498,0.000378053,0.000378053,0.000378053
61,23189.8,0.85099,0.544,1.01433,0.67783,0.60682,0.63438,0.35922,1.65255,1.1463,1.49474,0.000369054,0.000369054,0.000369054
62,23522,0.86252,0.5582,1.02991,0.82793,0.60667,0.68777,0.3796,1.64443,1.13075,1.49164,0.000360055,0.000360055,0.000360055
63,23852.4,0.83753,0.55185,1.01738,0.80164,0.60526,0.67062,0.3625,1.64316,1.11439,1.49968,0.000351056,0.000351056,0.000351056
64,24181.1,0.83995,0.53427,1.01634,0.82583,0.61041,0.68129,0.35738,1.64048,1.15191,1.50305,0.000342057,0.000342057,0.000342057
65,24505.2,0.83732,0.53412,1.01096,0.77828,0.62099,0.68629,0.37126,1.59094,1.09304,1.47655,0.000333058,0.000333058,0.000333058
66,24831.9,0.82737,0.52875,1.00293,0.67391,0.68991,0.67394,0.36316,1.57838,1.07859,1.46651,0.000324058,0.000324058,0.000324058
67,25156.1,0.79127,0.51931,0.99199,0.78784,0.66214,0.69715,0.35418,1.62672,1.08609,1.50392,0.000315059,0.000315059,0.000315059
68,25483.7,0.79222,0.51903,1.00088,0.68692,0.64926,0.68138,0.3631,1.61354,1.07343,1.48748,0.00030606,0.00030606,0.00030606
69,25813.1,0.80164,0.51967,0.99397,0.72135,0.6154,0.6714,0.35735,1.63228,1.08864,1.50006,0.000297061,0.000297061,0.000297061
70,26143.7,0.78923,0.50514,0.98502,0.80147,0.62061,0.68989,0.37748,1.64232,1.09137,1.52248,0.000288062,0.000288062,0.000288062
71,26473.3,0.76535,0.49827,0.98842,0.76625,0.62766,0.66714,0.36135,1.63092,1.07348,1.53431,0.000279063,0.000279063,0.000279063
72,26801.4,0.75733,0.49154,0.97773,0.77338,0.64535,0.69708,0.36608,1.61367,1.0182,1.47596,0.000270064,0.000270064,0.000270064
73,27128.5,0.7688,0.48875,0.98832,0.7676,0.60599,0.65495,0.354,1.61359,1.00389,1.4944,0.000261065,0.000261065,0.000261065
